week_end,sales_week
2016-09-18,1084355.0
2016-09-25,1062888.0
2016-10-02,1174809.0
2016-10-09,1178384.0
2016-10-16,1113727.0
2016-10-23,1111548.0
2016-10-30,1078657.0
2016-11-06,1398627.0
2016-11-13,1311701.0
2016-11-20,1312090.0
2016-11-27,1272342.0
2016-12-04,1399914.0
2016-12-11,1342912.0
2016-12-18,1288254.0
2016-12-25,1250784.0
2017-01-01,1271454.0
2017-01-08,1714281.0
2017-01-15,1395062.0
2017-01-22,1431048.0
2017-01-29,1285322.0
2017-02-05,1362405.0
2017-02-12,1263005.0
2017-02-19,1199955.0
2017-02-26,1205691.0
2017-03-05,1483081.0
2017-03-12,1335778.0
2017-03-19,1426100.0
2017-03-26,1409934.0
2017-04-02,1457075.0
2017-04-09,1370345.0
2017-04-16,1312699.0
2017-04-23,1319957.0
2017-04-30,1325665.0
2017-05-07,1524916.0
2017-05-14,1199891.0
2017-05-21,1317735.0
2017-05-28,1290194.0
2017-06-04,1493682.0
2017-06-11,1465103.0
2017-06-18,1313649.0
2017-06-25,1274435.0
2017-07-02,1326264.0
2017-07-09,1368223.0
2017-07-16,1361851.0
2017-07-23,1348452.0
2017-07-30,1361379.0
2017-08-06,1436505.0
2017-08-13,1223297.0
2017-08-20,345605.0
